DEMAND1,2011-06-03 17:59:51,97.44,52.83
METER,2011-06-03 17:59:54,97.44,52.83
DEMAND1,2011-06-03 18:44:52,85.56,45.34
DEMAND1,2011-06-03 18:44:55,128.56,45.28
METER,2011-06-03 18:44:55,85.56,45.34
METER,2011-06-03 18:44:58,128.56,45.28
DEMAND1,2011-06-03 18:59:56,138.94,40.42
METER,2011-06-03 18:59:59,138.94,40.42
DEMAND1,2011-06-03 19:14:51,149.00,39.14
METER,2011-06-03 19:14:54,149.00,39.14
DEMAND1,2011-06-03 19:29:45,162.50,53.15
METER,2011-06-03 19:29:48,162.50,53.15
DEMAND1,2011-06-03 19:44:53,175.81,52.06
METER,2011-06-03 19:44:56,175.81,52.06
METER,2011-06-03 19:59:46,190.38,55.97
DEMAND1,2011-06-03 20:00:00,190.69,55.74
DEMAND1,2011-06-03 20:14:52,204.69,57.06
METER,2011-06-03 20:14:55,204.69,57.06
METER,2011-06-03 20:29:46,219.13,58.46
DEMAND1,2011-06-03 20:30:00,219.44,58.56
DEMAND1,2011-06-03 20:44:55,231.69,49.66
METER,2011-06-03 20:44:58,231.69,49.66
DEMAND1,2011-06-03 20:59:47,245.69,55.10
METER,2011-06-03 20:59:50,245.69,55.10
METER,2011-06-03 21:14:46,259.25,47.97
DEMAND1,2011-06-03 21:15:00,259.50,47.90
DEMAND1,2011-06-03 21:29:53,271.63,48.13
METER,2011-06-03 21:29:56,271.63,48.13
DEMAND1,2011-06-03 21:59:45,296.00,51.33
METER,2011-06-03 21:59:48,296.00,51.33
DEMAND1,2011-06-03 22:14:54,308.13,48.03
METER,2011-06-03 22:14:58,308.13,48.03
DEMAND1,2011-06-03 22:29:45,320.31,49.41
METER,2011-06-03 22:29:48,320.31,49.41
DEMAND1,2011-06-03 22:44:53,332.06,45.06
METER,2011-06-03 22:44:56,332.06,45.06
METER,2011-06-03 22:59:47,343.88,48.03
DEMAND1,2011-06-03 23:00:01,344.13,48.10
DEMAND1,2011-06-03 23:14:53,355.88,46.46
METER,2011-06-03 23:14:56,355.88,46.46
METER,2011-06-03 23:29:47,367.56,47.26
DEMAND1,2011-06-03 23:30:01,367.81,50.56
DEMAND1,2011-06-03 23:44:51,377.75,44.35
METER,2011-06-03 23:44:54,377.75,44.35
DEMAND1,2011-06-03 23:59:58,389.63,42.37
METER,2011-06-04 00:00:01,389.63,42.37
DEMAND1,2011-06-04 00:14:50,397.81,32.19
METER,2011-06-04 00:14:53,397.81,32.19
DEMAND1,2011-06-04 00:29:57,404.38,31.62
METER,2011-06-04 00:30:00,404.38,31.62
DEMAND1,2011-06-04 06:44:55,473.44,7.68
METER,2011-06-04 06:44:58,473.44,7.68
METER,2011-06-04 06:59:47,475.31,8.03
DEMAND1,2011-06-04 07:00:01,475.38,8.10
DEMAND1,2011-06-04 07:14:51,477.38,8.22
METER,2011-06-04 07:14:54,477.38,8.22
DEMAND1,2011-06-04 07:29:57,479.31,7.81
METER,2011-06-04 07:30:00,479.31,7.81
DEMAND1,2011-06-04 07:44:44,481.31,8.77
METER,2011-06-04 07:44:47,481.31,8.77
DEMAND1,2011-06-04 07:59:50,483.31,7.81
METER,2011-06-04 07:59:53,483.31,7.81
DEMAND1,2011-06-04 08:14:55,485.25,8.00
METER,2011-06-04 08:14:59,485.25,8.00
DEMAND1,2011-06-04 14:29:53,703.19,49.15
METER,2011-06-04 14:29:57,703.19,49.15
METER,2011-06-04 20:29:59,1026.69,54.14
DEMAND1,2011-06-05 02:44:55,1245.50,8.58
METER,2011-06-05 02:44:58,1245.50,8.58
METER,2011-06-05 02:59:46,1247.75,8.64
DEMAND1,2011-06-05 03:00:01,1247.75,8.64
DEMAND1,2011-06-05 03:14:49,1249.94,8.93
METER,2011-06-05 03:14:52,1249.94,8.93
DEMAND1,2011-06-05 03:29:55,1252.38,11.36
METER,2011-06-05 03:29:58,1252.38,11.36
METER,2011-06-05 03:44:46,1254.50,8.26
DEMAND1,2011-06-05 03:45:00,1254.56,8.26
DEMAND1,2011-06-05 03:59:48,1256.69,9.25
METER,2011-06-05 03:59:51,1256.69,9.25
DEMAND1,2011-06-05 04:14:54,1258.94,8.70
METER,2011-06-05 04:14:57,1258.94,8.70
METER,2011-06-05 04:29:45,1261.06,8.26
DEMAND1,2011-06-05 04:29:59,1261.06,8.22
DEMAND1,2011-06-05 04:44:47,1263.13,7.94
METER,2011-06-05 04:44:50,1263.13,7.94
DEMAND1,2011-06-05 04:59:53,1265.25,8.80
METER,2011-06-05 04:59:56,1265.25,8.80
METER,2011-06-05 05:14:45,1267.38,8.48
DEMAND1,2011-06-05 05:14:59,1267.44,8.51
DEMAND1,2011-06-05 05:29:48,1269.44,8.13
METER,2011-06-05 05:29:51,1269.44,8.13
DEMAND1,2011-06-05 05:44:53,1271.38,7.58
METER,2011-06-05 05:44:56,1271.38,7.58
METER,2011-06-05 05:59:45,1273.31,7.94
DEMAND1,2011-06-05 05:59:59,1273.31,8.19
DEMAND1,2011-06-05 06:14:47,1275.38,8.45
METER,2011-06-05 06:14:50,1275.38,8.45
DEMAND1,2011-06-05 06:29:53,1277.44,8.51
METER,2011-06-05 06:29:56,1277.44,8.51
DEMAND1,2011-06-05 06:44:58,1279.44,7.14
METER,2011-06-05 06:45:02,1279.44,7.14
DEMAND1,2011-06-05 12:59:51,1395.13,39.23
METER,2011-06-05 12:59:54,1395.13,39.23
DEMAND1,2011-06-05 13:14:57,1408.06,53.63
METER,2011-06-05 13:15:01,1408.06,53.63
DEMAND1,2011-06-05 13:29:45,1421.31,52.96
METER,2011-06-05 13:29:49,1421.31,52.96
DEMAND1,2011-06-05 13:44:51,1433.50,44.61
METER,2011-06-05 13:44:54,1433.50,44.61
DEMAND1,2011-06-05 13:59:57,1445.38,49.54
METER,2011-06-05 14:00:00,1445.38,49.54
DEMAND1,2011-06-05 14:14:45,1457.69,49.92
METER,2011-06-05 14:14:48,1457.69,49.92
DEMAND1,2011-06-05 14:29:52,1469.81,50.88
METER,2011-06-05 14:29:55,1469.81,50.88
DEMAND1,2011-06-05 20:44:55,1802.25,60.80
METER,2011-06-05 20:44:59,1802.25,60.80
DEMAND1,2011-06-05 20:59:44,1816.44,55.42
METER,2011-06-05 20:59:47,1816.44,55.42
DEMAND1,2011-06-05 21:14:49,1830.44,55.81
