2012-02-28 09:44:55,\N,OSLLightsStillOn
2010-11-05 19:14:47,2010-11-06 03:44:59,HighCO2
2010-11-06 15:44:51,2010-11-06 20:14:54,HighCO2
2010-11-06 20:14:54,2010-11-07 00:14:51,OpenCircuit
2010-11-07 00:44:46,2010-11-07 01:00:00,DATACHECK
2010-11-07 00:59:51,2010-11-07 01:14:45,DATACHECK
2010-11-07 00:59:52,2010-11-07 01:14:46,DATACHECK
2010-11-07 00:59:53,2010-11-07 01:14:46,DATACHECK
2010-11-07 00:59:52,2010-11-07 01:14:46,DATACHECK
2010-11-07 00:59:52,2010-11-07 01:14:46,DATACHECK
2010-11-07 00:59:52,2010-11-07 01:14:46,DATACHECK
2010-11-07 00:59:54,2010-11-07 01:14:48,DATACHECK
2010-11-07 00:59:55,2010-11-07 01:14:49,DATACHECK
2010-11-07 00:59:58,2010-11-07 01:14:51,DATACHECK
2010-11-07 00:59:45,2010-11-07 01:14:55,DATACHECK
2010-11-07 00:59:47,2010-11-07 01:14:57,DATACHECK
2010-11-07 00:59:59,2010-11-07 01:14:58,DATACHECK
2010-11-07 00:59:59,2010-11-07 01:14:58,DATACHECK
2010-11-07 00:59:59,2010-11-07 01:14:58,DATACHECK
2010-11-07 00:59:49,2010-11-07 01:14:59,DATACHECK
2010-11-07 00:14:51,2010-11-07 05:30:00,HighCO2
2010-11-07 17:14:50,2010-11-07 23:30:00,HighCO2
2010-11-08 13:44:51,2010-11-09 00:59:57,DeltaT2CoolingZoneInSpec
2010-11-08 22:44:47,2010-11-09 00:59:57,RuntimeExcessive
2010-11-09 02:14:54,2010-11-09 03:14:47,DeltaT1CoolingZoneInSpec
2010-11-09 01:44:48,2010-11-09 03:14:50,RuntimeExcessive
2010-11-09 11:29:53,2010-11-09 15:59:52,DeltaT2CoolingZoneInSpec
2010-11-09 17:29:46,2010-11-09 22:14:56,DeltaT2CoolingZoneInSpec
2010-11-10 11:29:49,2010-11-10 22:14:49,DeltaT2CoolingZoneInSpec
2010-11-10 22:59:57,2010-11-10 23:14:57,RuntimeExcessive
2010-11-11 11:29:56,2010-11-11 22:14:45,DeltaT2CoolingZoneInSpec
2010-11-12 10:59:54,2010-11-12 11:14:50,DeltaT1CoolingZoneInSpec
2010-11-12 12:14:52,2010-11-12 23:14:52,DeltaT2CoolingZoneInSpec
2010-11-12 22:29:47,2010-11-13 00:14:52,RuntimeExcessive
2010-11-12 19:44:55,2010-11-13 03:14:53,HighCO2
2010-11-13 10:59:59,2010-11-13 12:29:49,DeltaT1CoolingZoneInSpec
2010-11-13 15:44:49,2010-11-13 20:14:56,HighCO2
2010-11-13 20:14:56,2010-11-13 22:14:58,OpenCircuit
2010-11-13 13:29:48,2010-11-13 23:14:57,DeltaT2CoolingZoneInSpec
2010-11-13 22:14:58,2010-11-14 03:44:46,HighCO2
2010-11-14 18:14:48,2010-11-14 21:14:50,HighCO2
2010-11-14 13:14:59,2010-11-14 22:14:50,DeltaT1CoolingZoneInSpec
2010-11-15 11:29:44,2010-11-15 11:44:58,DeltaT1CoolingZoneInSpec
2010-11-15 16:29:59,2010-11-15 17:14:51,DeltaT2CoolingZoneInSpec
2010-11-15 18:44:47,2010-11-15 19:00:00,DeltaT1CoolingZoneInSpec
2010-11-15 19:59:46,2010-11-15 20:14:59,DeltaT1CoolingZoneInSpec
2010-11-15 21:14:59,2010-11-15 22:14:49,DeltaT2CoolingZoneInSpec
2010-11-16 11:29:47,2010-11-16 22:15:01,DeltaT2CoolingZoneInSpec
2010-11-17 11:29:47,2010-11-17 11:44:45,DeltaT1CoolingZoneInSpec
2010-11-17 11:59:59,2010-11-17 13:29:59,DeltaT1CoolingZoneInSpec
2010-11-17 14:29:45,2010-11-17 20:44:57,DeltaT2CoolingZoneInSpec
2010-11-17 21:44:59,2010-11-17 21:59:55,DeltaT1CoolingZoneInSpec
2010-11-18 12:59:55,2010-11-18 22:14:53,DeltaT2CoolingZoneInSpec
2010-11-19 11:00:01,2010-11-19 12:14:58,DeltaT1CoolingZoneInSpec
2010-11-19 15:15:01,2010-11-19 16:29:58,DeltaT1CoolingZoneInSpec
2010-11-19 16:44:54,2010-11-19 18:44:56,DeltaT1CoolingZoneInSpec
2010-11-19 19:14:49,2010-11-19 19:29:45,DeltaT1CoolingZoneInSpec
2010-11-19 20:29:46,2010-11-19 23:14:58,DeltaT2CoolingZoneInSpec
2010-11-20 10:59:49,2010-11-20 11:14:45,DeltaT1CoolingZoneInSpec
2010-11-20 11:29:58,2010-11-20 11:44:53,DeltaT1CoolingZoneInSpec
2010-11-20 12:14:45,2010-11-20 12:29:57,DeltaT1CoolingZoneInSpec
2010-11-20 12:44:53,2010-11-20 13:29:59,DeltaT1CoolingZoneInSpec
2010-11-20 16:29:47,2010-11-20 17:29:49,DeltaT1CoolingZoneInSpec
2010-11-20 17:59:57,2010-11-20 18:44:46,DeltaT1CoolingZoneInSpec
2010-11-20 19:59:59,2010-11-20 23:14:45,DeltaT1CoolingZoneInSpec
2010-11-21 12:44:46,2010-11-21 19:44:58,DeltaT2CoolingZoneInSpec
2010-11-21 21:29:52,2010-11-21 22:14:47,DeltaT2CoolingZoneInSpec
2010-11-22 11:29:55,2010-11-22 22:14:52,DeltaT2CoolingZoneInSpec
2010-11-22 22:44:48,2010-11-22 23:14:45,RuntimeExcessive
